Date,Open,High,Low,Close,Adj Close,Volume
2022-06-06,130.707001,131.675995,130.473007,130.707001,130.707001,0
2022-06-07,132.175995,132.988007,132.097000,132.175995,132.175995,0
2022-06-08,132.847000,134.436005,132.733002,132.847000,132.847000,0
2022-06-09,134.429993,134.554001,133.190994,134.429993,134.429993,0
2022-06-10,134.417999,134.380997,133.386993,134.417999,134.417999,0
2022-06-13,134.813995,135.158005,133.608994,134.813995,134.813995,0
2022-06-14,134.225006,134.968002,133.899994,134.225006,134.225006,0
2022-06-15,135.294006,135.285004,134.296997,135.294006,135.294006,0
2022-06-16,134.115005,134.671997,131.546997,134.115005,134.115005,0
2022-06-17,132.421005,135.412003,132.186996,132.421005,132.421005,0
2022-06-20,135.276001,135.412003,134.548996,135.276001,135.276001,0
2022-06-21,135.087006,136.328995,134.945007,135.087006,135.087006,0
2022-06-22,136.268997,136.595001,135.751007,136.268997,136.268997,0
2022-06-23,136.024002,136.181000,134.294006,136.024002,136.024002,0
2022-06-24,134.839996,135.272003,134.369995,134.839996,134.839996,0
2022-06-27,135.061996,135.539001,134.535004,135.061996,135.061996,0
2022-06-28,135.434998,136.302994,135.123993,135.434998,135.434998,0
2022-06-29,136.046997,136.996994,135.811005,136.046997,136.046997,0
2022-06-30,136.589005,136.798996,135.686996,136.589005,136.589005,0
2022-07-01,135.785995,135.977005,134.796005,135.785995,135.785995,0
2022-07-04,135.042999,135.770996,134.798004,135.042999,135.042999,0
2022-07-05,135.839996,136.345001,135.554993,135.839996,135.839996,0
2022-07-06,135.520996,135.962006,134.975006,135.520996,135.520996,0
2022-07-07,135.966003,136.203995,135.570007,135.966003,135.966003,0
2022-07-08,135.912994,136.544006,135.356995,135.912994,135.912994,0
2022-07-11,136.300995,137.744995,136.270004,136.300995,136.300995,0
2022-07-12,137.388000,137.501999,136.496002,137.388000,137.388000,0
2022-07-13,136.725998,137.858002,136.731003,136.725998,136.725998,0
2022-07-14,137.628006,139.376999,137.604996,137.628006,137.628006,0
2022-07-15,138.966995,139.074005,138.404007,138.966995,138.966995,0
2022-07-18,138.313995,138.436996,137.895996,138.313995,138.313995,0
2022-07-19,138.229004,138.386993,137.386002,138.229004,138.229004,0
2022-07-20,138.190994,138.365005,137.914001,138.190994,138.190994,0
2022-07-21,138.395004,138.867004,137.722000,138.395004,138.395004,0
2022-07-22,137.098007,137.938995,135.595993,137.098007,137.098007,0
2022-07-25,136.311996,136.783005,135.936005,136.311996,136.311996,0
2022-07-26,136.431000,136.834000,136.292007,136.431000,136.431000,0
2022-07-27,136.970001,137.343002,136.550995,136.970001,136.970001,0
2022-07-28,136.110992,136.410995,134.354996,136.110992,136.110992,0
2022-07-29,134.397003,134.649994,132.552002,134.397003,134.397003,0
2022-08-01,133.406998,133.365005,131.621994,133.406998,133.406998,0
